timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
986560429,0.0,0.0,0.0,-0.010489615,-0.32208782,-0.20828089,1.7023866,2,0,0,1,0
992142154,0.0,0.0,0.0,-0.0109659955,-0.32153767,-0.18988946,1.7026441,3,0,0,1,0
