timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
986962625,2621450,3670026,6946858,2621450,0,0.21730973,0.23117162,0.24162257,0.0,2621450,3670026,6684714,2621450,0,0.00485073,0.0021999911,0.0043763947,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
986967886,2621450,3670026,6946858,2621450,0,0.21493354,0.22693643,0.24348126,0.0,2621450,3670026,6684714,2621450,0,0.004681642,0.0025003012,0.0039118547,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
987165825,2621450,3670026,6946858,2621450,0,0.22352877,0.22390027,0.23949346,0.0,2621450,3670026,6684714,2621450,0,0.0049736146,0.0018432424,0.004779184,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
987363930,2621450,3670026,6946858,2621450,0,0.21432273,0.23664056,0.2510589,0.0,2621450,3670026,6684714,2621450,0,0.005083644,0.001777206,0.0043256045,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
987561785,2621450,3670026,6946858,2621450,0,0.2210603,0.22903532,0.24955747,0.0,2621450,3670026,6684714,2621450,0,0.00527758,0.0023506996,0.0049984558,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
987764983,2621450,3670026,6946858,2621450,0,0.22805306,0.22788785,0.25034505,0.0,2621450,3670026,6684714,2621450,0,0.00500754,0.0026472858,0.0051184837,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
987963253,2621450,3670026,6946858,2621450,0,0.2297513,0.22346666,0.2525192,0.0,2621450,3670026,6684714,2621450,0,0.005182804,0.0017260842,0.004590062,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
988166161,2621450,3670026,6946858,2621450,0,0.21792899,0.23725523,0.25460055,0.0,2621450,3670026,6684714,2621450,0,0.0049367626,0.0018975377,0.0053343875,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
988364281,2621450,3670026,6946858,2621450,0,0.2135114,0.22252667,0.25253776,0.0,2621450,3670026,6684714,2621450,0,0.0048276396,0.0026676462,0.0040758755,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
988562190,2621450,3670026,6946858,2621450,0,0.22057237,0.22809383,0.2541059,0.0,2621450,3670026,6684714,2621450,0,0.004592315,0.0025258227,0.005015831,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
