0,          0,          0
2105,       4,          0.45
4244,       16,         1.90
6378,       35,         4.30
8466,       61,         8.06
10495,      94,         12.45
12461,      135,        17.96
14376,      182,        24.28
16195,      237,        31.87
17970,      294,        39.93
19672,      354,        48.97
19825.9,    360.4,      49.995
