timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
598385574,0.0,0.0,1.4984056,0.0,0.7322321,0.0,0.0,0.6810553,0.0,0.0,-0.001,0,0
598396204,0.0,0.0,1.4984021,0.0,0.7322332,0.0,0.0,0.68105394,0.0,0.0,-0.001,0,0
598429684,0.0,0.0,1.4983475,0.0,0.7322518,0.0,0.0,0.68103397,0.0,0.0,-0.001,0,0
598435084,0.0,0.0,1.4983617,0.0,0.732247,0.0,0.0,0.6810392,0.0,0.0,-0.001,0,0
598450278,0.0,0.0,1.4985404,0.0,0.73218614,0.0,0.0,0.6811046,0.0,0.0,-0.001,0,0
598460035,0.0,0.0,1.4983606,0.0,0.73224735,0.0,0.0,0.6810388,0.0,0.0,-0.001,0,0
598470294,0.0,0.0,1.4981738,0.0,0.73231095,0.0,0.0,0.68097043,0.0,0.0,-0.001,0,0
598485932,0.0,0.0,1.4985855,0.0,0.73217076,0.0,0.0,0.6811212,0.0,0.0,-0.001,0,0
598495778,0.0,0.0,1.4985125,0.0,0.7321956,0.0,0.0,0.68109435,0.0,0.0,-0.001,0,0
598505745,0.0,0.0,1.4982111,0.0,0.73229825,0.0,0.0,0.68098414,0.0,0.0,-0.001,0,0
598521331,0.0,0.0,1.4986036,0.0,0.7321646,0.0,0.0,0.68112767,0.0,0.0,-0.001,0,0
598536178,0.0,0.0,1.4988347,0.0,0.7320859,0.0,0.0,0.68121237,0.0,0.0,-0.001,0,0
598545180,0.0,0.0,1.4993086,0.0,0.7319245,0.0,0.0,0.6813859,0.0,0.0,-0.001,0,0
598555208,0.0,0.0,1.4998637,0.0,0.7317353,0.0,0.0,0.68158895,0.0,0.0,-0.001,0,0
598569212,0.0,0.0,1.500299,0.0,0.731587,0.0,0.0,0.6817481,0.0,0.0,-0.001,0,0
598575141,0.0,0.0,1.5005647,0.0,0.7314964,0.0,0.0,0.6818454,0.0,0.0,-0.001,0,0
598590650,0.0,0.0,1.500599,0.0,0.73148465,0.0,0.0,0.68185794,0.0,0.0,-0.001,0,0
598605981,0.0,0.0,1.5001104,0.0,0.73165125,0.0,0.0,0.6816792,0.0,0.0,-0.001,0,0
