timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
598385610,598333379,0.0,0.0,0.0,0.0,0.0,0.0,0.00291932,0.0029193277,0.002890857,0.000112772905,0.000112773,0.00011239398,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052513033,0.0,0.0,0.0,1.015231,1.0154823,1.0804805,0.0,0.0,0.0,0.0,0.0,0.0
598396240,598343495,0.0,0.0,0.0,0.0,0.0,0.0,0.0029351437,0.002935152,0.0029059455,0.00011366342,0.00011366353,0.0001132226,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052513074,0.0,0.0,0.0,1.015235,1.0154862,1.0804806,0.0,0.0,0.0,0.0,0.0,0.0
598435115,598394009,0.0,0.0,0.0,0.0,0.0,0.0,0.0029631797,0.0029631888,0.002928435,0.00011540425,0.0001154044,0.0001148397,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052513156,0.0,0.0,0.0,1.0152352,1.0154864,1.0804806,0.0,0.0,0.0,0.0,0.0,0.0
598450923,598402875,0.0,0.0,0.0,0.0,0.0,0.0,0.0029483244,0.002948333,0.0029169046,0.000114659895,0.000114660026,0.000114147966,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.05251295,0.0,0.0,0.0,1.0152289,1.0154799,1.0804805,0.0,0.0,0.0,0.0,0.0,0.0
598460181,598412936,0.0,0.0,0.0,0.0,0.0,0.0,0.0029483244,0.002948333,0.0029169046,0.000114659895,0.000114660026,0.000114147966,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.05251295,0.0,0.0,0.0,1.0152231,1.0154744,1.0804803,0.0,0.0,0.0,0.0,0.0,0.0
598470325,598423056,0.0,0.0,0.0,0.0,0.0,0.0,0.002957488,0.0029574968,0.002926164,0.00011540241,0.00011540255,0.00011484444,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512992,0.0,0.0,0.0,1.0152272,1.0154785,1.0804803,0.0,0.0,0.0,0.0,0.0,0.0
598485954,598433168,0.0,0.0,0.0,0.0,0.0,0.0,0.0029438687,0.002943877,0.0029147908,0.00011464026,0.00011464039,0.000114139,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.05251279,0.0,0.0,0.0,1.0152208,1.0154722,1.0804801,0.0,0.0,0.0,0.0,0.0,0.0
598496155,598448341,0.0,0.0,0.0,0.0,0.0,0.0,0.0029353905,0.0029353986,0.0029059865,0.000114005285,0.0001140054,0.00011354835,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512586,0.0,0.0,0.0,1.0152158,1.0154672,1.0804801,0.0,0.0,0.0,0.0,0.0,0.0
598505839,598458434,0.0,0.0,0.0,0.0,0.0,0.0,0.0029353905,0.0029353986,0.0029059865,0.000114005285,0.0001140054,0.00011354835,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512586,0.0,0.0,0.0,1.0152119,1.0154629,1.0804802,0.0,0.0,0.0,0.0,0.0,0.0
598521342,598468568,0.0,0.0,0.0,0.0,0.0,0.0,0.0029472439,0.0029472506,0.0029174984,0.000114790004,0.000114790135,0.0001142827,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512627,0.0,0.0,0.0,1.0152159,1.0154668,1.0804803,0.0,0.0,0.0,0.0,0.0,0.0
598536261,598483728,0.0,0.0,0.0,0.0,0.0,0.0,0.0029382734,0.0029382769,0.0029081907,0.00011413236,0.000114132476,0.000113670365,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512422,0.0,0.0,0.0,1.0152112,1.0154622,1.0804801,0.0,0.0,0.0,0.0,0.0,0.0
598545170,598493833,0.0,0.0,0.0,0.0,0.0,0.0,0.002929512,0.0029295194,0.0029011117,0.000113589405,0.000113589515,0.000113159665,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.05251222,0.0,0.0,0.0,1.0152075,1.0154582,1.0804802,0.0,0.0,0.0,0.0,0.0,0.0
598555260,598503937,0.0,0.0,0.0,0.0,0.0,0.0,0.0029226749,0.0029226805,0.0028956358,0.00011313027,0.00011313037,0.00011272651,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052512024,0.0,0.0,0.0,1.0152043,1.0154549,1.0804805,0.0,0.0,0.0,0.0,0.0,0.0
598569262,598519137,0.0,0.0,0.0,0.0,0.0,0.0,0.0029195633,0.0029195668,0.0028914127,0.000112740025,0.00011274012,0.000112357506,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052511822,0.0,0.0,0.0,1.0152014,1.015452,1.0804802,0.0,0.0,0.0,0.0,0.0,0.0
598575476,598532992,0.0,0.0,0.0,0.0,0.0,0.0,0.0029195633,0.0029195668,0.0028914127,0.000112740025,0.00011274012,0.000112357506,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052511822,0.0,0.0,0.0,1.0151992,1.0154498,1.08048,0.0,0.0,0.0,0.0,0.0,0.0
598590678,598543124,0.0,0.0,0.0,0.0,0.0,0.0,0.0029374089,0.0029374128,0.0029066154,0.00011364774,0.000113647846,0.0001132011,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.052511863,0.0,0.0,0.0,1.0152034,1.0154537,1.0804802,0.0,0.0,0.0,0.0,0.0,0.0
