timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
597986602,0.78999996,0.78999996,0.0,81,85,82,84,0
598486618,0.78,0.78,0.0,81,85,82,84,0
598986621,0.78,0.78,0.0,81,85,82,84,0
599486631,0.78,0.78,0.0,81,85,82,84,0
599986641,0.78,0.78,0.0,81,85,82,84,0
600487431,0.78,0.78,0.0,81,85,82,84,0
600986708,0.78,0.78,0.0,81,85,82,84,0
601486945,0.78,0.78,0.0,81,85,82,84,0
601986730,0.78,0.78,0.0,81,85,82,84,0
602486715,0.78999996,0.78999996,0.0,81,85,82,84,0
602986673,0.78999996,0.78999996,0.0,81,85,82,84,0
603486609,0.78999996,0.78999996,0.0,81,85,82,84,0
603986870,0.78999996,0.78999996,0.0,81,85,82,84,0
604486795,0.78,0.78,0.0,81,85,82,84,0
604986609,0.78,0.78,0.0,81,85,82,84,0
605486598,0.78,0.78,0.0,81,85,82,84,0
605986676,0.78,0.78,0.0,81,85,82,84,0
606486596,0.81,0.81,0.0,81,85,82,84,0
606986712,0.81,0.81,0.0,81,85,82,84,0
607486666,0.81,0.81,0.0,81,85,82,84,0
607986621,0.81,0.81,0.0,81,85,82,84,0
608486585,0.84,0.84,0.0,81,85,82,84,0
608986592,0.84,0.84,0.0,81,85,82,84,0
609486746,0.84,0.84,0.0,81,85,82,84,0
609986941,0.84,0.84,0.0,81,85,82,84,0
610486887,0.81,0.81,0.0,81,85,82,84,0
610986678,0.81,0.81,0.0,81,85,82,84,0
611486802,0.81,0.81,0.0,81,85,82,84,0
611986771,0.81,0.81,0.0,81,85,82,84,0
612486845,0.84,0.84,0.0,81,85,82,84,0
612986666,0.84,0.84,0.0,81,85,82,84,0
613486586,0.84,0.84,0.0,81,85,82,84,0
613986590,0.84,0.84,0.0,81,85,82,84,0
614486651,0.84999996,0.84999996,0.0,81,85,82,84,0
614986844,0.84999996,0.84999996,0.0,81,85,82,84,0
615486665,0.84999996,0.84999996,0.0,81,85,82,84,0
615986707,0.84999996,0.84999996,0.0,81,85,82,84,0
616486605,0.84999996,0.84999996,0.0,81,85,82,84,0
616986779,0.84999996,0.84999996,0.0,81,85,82,84,0
617486605,0.84999996,0.84999996,0.0,81,85,82,84,0
617986683,0.84999996,0.84999996,0.0,81,85,82,84,0
618486623,0.84,0.84,0.0,81,85,82,84,0
618986660,0.84,0.84,0.0,81,85,82,84,0
619486623,0.84,0.84,0.0,81,85,82,84,0
619986602,0.84,0.84,0.0,81,85,82,84,0
620486638,0.84999996,0.84999996,0.0,81,85,82,84,0
620986674,0.84999996,0.84999996,0.0,81,85,82,84,0
621486695,0.84999996,0.84999996,0.0,81,85,82,84,0
621986698,0.84999996,0.84999996,0.0,81,85,82,84,0
622486604,0.84,0.84,0.0,81,85,82,84,0
622986634,0.84,0.84,0.0,81,85,82,84,0
623486601,0.84,0.84,0.0,81,85,82,84,0
623986733,0.84,0.84,0.0,81,85,82,84,0
