timestamp,time_estimate,safe_time_estimate,valid
598970085,0.0,0.0,0
599970440,0.0,0.0,0
600991246,0.0,0.0,0
602018344,0.0,0.0,0
603023140,0.0,0.0,0
604036807,0.0,0.0,0
605052321,0.0,0.0,0
606094536,0.0,0.0,0
607098776,0.0,0.0,0
608105235,0.0,0.0,0
609122336,0.0,0.0,0
610147358,0.0,0.0,0
611158116,0.0,0.0,0
612165474,0.0,0.0,0
613188885,0.0,0.0,0
614235245,0.0,0.0,0
615248502,0.0,0.0,0
616263940,0.0,0.0,0
617280017,0.0,0.0,0
618294219,0.0,0.0,0
619306462,0.0,0.0,0
620338559,0.0,0.0,0
621348330,0.0,0.0,0
622359714,0.0,0.0,0
623382947,0.0,0.0,0
624387199,0.0,0.0,0
625404050,0.0,0.0,0
626411845,0.0,0.0,0
627436535,0.0,0.0,0
628483942,0.0,0.0,0
629503636,0.0,0.0,0
630518285,0.0,0.0,0
631536001,0.0,0.0,0
632555745,0.0,0.0,0
633574313,0.0,0.0,0
634599623,0.0,0.0,0
635617296,0.0,0.0,0
636625876,0.0,0.0,0
637643540,0.0,0.0,0
638662820,0.0,0.0,0
639674219,0.0,0.0,0
640683519,0.0,0.0,0
641696246,0.0,0.0,0
642713278,0.0,0.0,0
643741551,0.0,0.0,0
644745621,0.0,0.0,0
645762174,0.0,0.0,0
646784639,0.0,0.0,0
647789457,0.0,0.0,0
648813178,0.0,0.0,0
649830216,0.0,0.0,0
650830783,0.0,0.0,0
651876848,0.0,0.0,0
