timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
598385543,598333379,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-4.4345856e-05,2.3841858e-06,-7.519126e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00021338463,0.0,0.0,0.0,0.00079256296,0.0013766997,-7.1525574e-05,0.0,0.0,0.0,0.0,0.0,0.0
598396120,598343495,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-5.5626035e-05,-3.401935e-05,-9.453297e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00020825863,0.0,0.0,0.0,-0.002634257,-0.0029873997,0.00018692017,0.0,0.0,0.0,0.0,0.0,0.0
598430012,598383946,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-6.546825e-05,-3.3915043e-05,-8.8497996e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-8.85725e-05,0.0,0.0,0.0,0.0014026463,0.005340047,-0.00021648407,0.0,0.0,0.0,0.0,0.0,0.0
598435026,598394009,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00010891259,-2.7686357e-05,-0.00015084445,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00059092045,0.0,0.0,0.0,0.0034392476,0.00911282,-0.00041103363,0.0,0.0,0.0,0.0,0.0,0.0
598450798,598402875,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-4.2960048e-05,-1.2084842e-05,-0.00011871755,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-6.41346e-05,0.0,0.0,0.0,0.004040271,-0.0018097721,-9.870529e-05,0.0,0.0,0.0,0.0,0.0,0.0
598459989,598412936,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-4.2960048e-05,-1.2084842e-05,-0.00011871755,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-6.41346e-05,0.0,0.0,0.0,-0.00030478835,-0.0063946955,0.00020170212,0.0,0.0,0.0,0.0,0.0,0.0
598470219,598423056,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,8.556247e-05,-0.00018519163,-0.00025250018,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0011335611,0.0,0.0,0.0,-0.0058671236,0.0032571368,0.000118255615,0.0,0.0,0.0,0.0,0.0,0.0
598485878,598433168,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-9.0137124e-05,3.3825636e-06,-7.915497e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0001128912,0.0,0.0,0.0,-0.01617983,-0.03585853,0.0016140938,0.0,0.0,0.0,0.0,0.0,0.0
598496039,598448341,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-6.727874e-05,1.40070915e-05,-9.2446804e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,9.727478e-05,0.0,0.0,0.0,-0.0135203,0.008903448,0.00022411346,0.0,0.0,0.0,0.0,0.0,0.0
598505764,598458434,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-6.727874e-05,1.40070915e-05,-9.2446804e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,9.727478e-05,0.0,0.0,0.0,-0.026587188,0.04862076,-0.0006284714,0.0,0.0,0.0,0.0,0.0,0.0
598521255,598468568,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-6.3546e-05,1.0937452e-05,-7.291138e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,9.179115e-06,0.0,0.0,0.0,-0.03159687,-0.05458079,0.0026311874,0.0,0.0,0.0,0.0,0.0,0.0
598536188,598483728,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,9.492785e-05,-0.0002092272,-0.00025773048,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0007508993,0.0,0.0,0.0,-0.04098347,-0.066009656,0.003223896,0.0,0.0,0.0,0.0,0.0,0.0
598545094,598493833,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-9.909272e-05,7.7322125e-05,-6.625056e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00013232231,0.0,0.0,0.0,-0.018905878,0.12736587,-0.003982544,0.0,0.0,0.0,0.0,0.0,0.0
598555165,598503937,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-8.448213e-05,6.93053e-05,-6.848574e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-6.3180923e-06,0.0,0.0,0.0,0.033569723,-0.0392955,-0.00021219254,0.0,0.0,0.0,0.0,0.0,0.0
598569138,598519137,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00010598451,8.645654e-05,-8.5651875e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,4.8279762e-05,0.0,0.0,0.0,0.018405765,-0.10552497,0.0019049644,0.0,0.0,0.0,0.0,0.0,0.0
598575363,598532992,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00010598451,8.645654e-05,-8.5651875e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,4.8279762e-05,0.0,0.0,0.0,-0.051036745,0.09676519,-0.0016126633,0.0,0.0,0.0,0.0,0.0,0.0
598590601,598543124,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00011857599,0.00011588633,-7.134676e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.00049722195,0.0,0.0,0.0,-0.015611768,-0.048660945,0.0019197464,0.0,0.0,0.0,0.0,0.0,0.0
598605892,598553244,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-9.135157e-05,0.00011008978,-6.9886446e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.00027275085,0.0,0.0,0.0,-0.018112987,-0.08030568,0.0027489662,0.0,0.0,0.0,0.0,0.0,0.0
598612120,598563360,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,4.8868358e-05,-0.000113889575,-0.00030344725,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00067543983,0.0,0.0,0.0,0.011604667,0.16408557,-0.0067300797,0.0,0.0,0.0,0.0,0.0,0.0
598621783,598573423,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,4.8868358e-05,-0.000113889575,-0.00030344725,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00067543983,0.0,0.0,0.0,-0.07076754,0.04693008,0.000916481,0.0,0.0,0.0,0.0,0.0,0.0
598636015,598588641,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00015315413,0.00017507374,-8.223951e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.00040078163,0.0,0.0,0.0,-0.019738108,-0.012552399,0.0010943413,0.0,0.0,0.0,0.0,0.0,0.0
598642425,598598722,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00015106052,0.00015421212,-9.4756484e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00013256073,0.0,0.0,0.0,0.046794146,0.16624746,-0.008201122,0.0,0.0,0.0,0.0,0.0,0.0
598651967,598610042,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00015106052,0.00015421212,-9.4756484e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00013256073,0.0,0.0,0.0,-0.037309647,-0.124198325,0.004201412,0.0,0.0,0.0,0.0,0.0,0.0
598672594,598620122,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00012443215,0.00017793477,-0.00010313094,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.00022554398,0.0,0.0,0.0,0.04561761,-0.05161811,-0.00052547455,0.0,0.0,0.0,0.0,0.0,0.0
598687685,598630268,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00012443215,0.00017793477,-0.00010313094,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.00022554398,0.0,0.0,0.0,-0.04022515,0.05953077,-0.0003824234,0.0,0.0,0.0,0.0,0.0,0.0
598697630,598640452,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,3.1381845e-05,8.523464e-06,-0.00019657612,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0009862185,0.0,0.0,0.0,0.06283921,0.22232108,-0.011401653,0.0,0.0,0.0,0.0,0.0,0.0
598707920,598650531,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00020384789,0.00012819469,-8.4489584e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00021529198,0.0,0.0,0.0,0.057235062,0.08952392,-0.0052876472,0.0,0.0,0.0,0.0,0.0,0.0
598718027,598665620,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00022393465,0.0001257658,-0.000104248524,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00045895576,0.0,0.0,0.0,0.010185897,-0.0066868737,-0.00023412704,0.0,0.0,0.0,0.0,0.0,0.0
598733484,598685840,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.000238128,0.000117599964,-7.377565e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00057148933,0.0,0.0,0.0,0.02637276,-0.13484295,0.0014472008,0.0,0.0,0.0,0.0,0.0,0.0
598746930,598695966,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.000238128,0.000117599964,-7.377565e-05,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00057148933,0.0,0.0,0.0,0.0839338,-0.13996427,-0.0012054443,0.0,0.0,0.0,0.0,0.0,0.0
598754683,598706040,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0002850443,8.998811e-05,-0.00012208521,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0012140274,0.0,0.0,0.0,-0.04617861,-0.0626196,0.0031013489,0.0,0.0,0.0,0.0,0.0,0.0
598769801,598716163,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00021400303,0.00012728572,-0.00011828542,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.001208663,0.0,0.0,0.0,-0.07458544,-0.0050253645,0.0028424263,0.0,0.0,0.0,0.0,0.0,0.0
598785100,598731376,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00021400303,0.00012728572,-0.00011828542,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.001208663,0.0,0.0,0.0,0.13611045,-0.21171227,-0.0034856796,0.0,0.0,0.0,0.0,0.0,0.0
598791258,598741795,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00012300909,-0.00015971065,-0.00034841895,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0023622513,0.0,0.0,0.0,0.16410664,-0.023176149,-0.007396221,0.0,0.0,0.0,0.0,0.0,0.0
598808900,598752900,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00012300909,-0.00015971065,-0.00034841895,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0023622513,0.0,0.0,0.0,0.07859188,-0.20352887,-0.00047779083,0.0,0.0,0.0,0.0,0.0,0.0
598815339,598767983,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00040025264,2.989173e-05,-0.000116825104,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0011096001,0.0,0.0,0.0,-0.00643602,-0.025453627,0.0008587837,0.0,0.0,0.0,0.0,0.0,0.0
598825375,598778085,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0003283322,4.425645e-05,-0.00012892485,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00065624714,0.0,0.0,0.0,-0.057879955,0.07662769,-0.00016593933,0.0,0.0,0.0,0.0,0.0,0.0
598835530,598789487,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00033883005,4.0009618e-05,-0.00013798475,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.001240015,0.0,0.0,0.0,-0.0401583,-0.010531865,0.0017404556,0.0,0.0,0.0,0.0,0.0,0.0
598845538,598803469,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00030387938,5.222857e-05,-0.00016780198,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00088477135,0.0,0.0,0.0,-0.03999886,-0.00856363,0.0016770363,0.0,0.0,0.0,0.0,0.0,0.0
598855938,598813451,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00030387938,5.222857e-05,-0.00016780198,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.00088477135,0.0,0.0,0.0,0.042973667,0.04207793,-0.0029439926,0.0,0.0,0.0,0.0,0.0,0.0
598870884,598823577,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00032508373,3.2365322e-05,-0.00016964972,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0005687475,0.0,0.0,0.0,-0.08322948,0.064266376,0.00089120865,0.0,0.0,0.0,0.0,0.0,0.0
598875873,598833654,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00032508373,3.2365322e-05,-0.00016964972,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0005687475,0.0,0.0,0.0,-0.16289596,0.103567325,0.0015206337,0.0,0.0,0.0,0.0,0.0,0.0
598891287,598843886,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00013747811,-0.00018966198,-0.00040787458,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0025382042,0.0,0.0,0.0,-0.01457569,0.09253508,-0.002371788,0.0,0.0,0.0,0.0,0.0,0.0
598895895,598854093,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00013747811,-0.00018966198,-0.00040787458,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0025382042,0.0,0.0,0.0,0.014307678,-0.06772024,0.0010251999,0.0,0.0,0.0,0.0,0.0,0.0
